Idx,numbers,categorys,times,dates
10373,16,14,2,3
10374,10,9,1,10
10376,9,9,1,3
10379,10,9,1,15
10380,10,9,1,15
10382,9,9,1,14
10391,10,10,1,3
10393,15,13,1,4
10397,10,9,1,15
1040,18,11,4,22
10402,11,10,2,4
10403,10,9,1,13
10406,10,9,1,15
10409,13,10,3,7
10411,20,17,2,15
10412,15,14,1,5
10413,10,9,2,15
10414,9,9,1,11
10416,10,9,1,12
10417,13,11,2,3
10423,20,10,2,5
10425,16,10,1,9
10427,11,10,2,4
10430,10,9,1,8
10431,11,9,1,10
10433,12,10,1,11
10435,11,11,1,89
10436,10,9,1,3
10437,12,12,2,14
10438,11,11,1,74
10439,9,9,1,40
10440,10,9,1,46
10441,9,9,1,3
10443,10,9,1,3
10445,10,9,1,10
10446,10,9,1,3
10447,14,12,2,8
10448,10,9,1,10
10450,11,10,2,231
10456,10,9,2,4
10457,10,9,1,14
10459,15,14,2,10
1046,16,11,3,31
10462,23,17,2,404
10464,11,9,1,10
10465,11,10,1,2
1047,32,14,8,21
10471,16,13,1,3
10473,11,10,1,8
10476,10,9,1,3
10478,10,10,2,9
1048,14,12,3,4
10481,10,8,1,2
10482,9,9,1,7
10483,16,11,1,9
10491,11,11,1,13
10492,10,9,1,11
10494,10,9,1,10
10501,10,9,1,8
10502,10,9,1,10
10506,10,9,1,9
10509,10,9,1,10
1051,20,16,3,115
10519,10,9,1,9
1052,13,11,1,7
10525,14,12,2,105
10526,12,11,3,31
10527,11,10,1,4
1053,14,13,2,6
10530,10,9,2,9
10532,11,10,2,5
10533,10,9,1,14
10535,10,9,1,13
10537,9,8,2,5
10539,14,12,3,42
1054,15,12,2,2
10542,10,9,2,5
10546,9,9,1,3
10547,10,9,1,4
10551,10,9,1,11
10553,13,11,2,2
10554,10,9,1,14
10559,12,10,1,4
10561,10,9,1,10
10564,10,9,1,15
10565,9,9,1,3
10573,8,8,1,1
10575,10,9,1,2
10576,14,14,3,9
10577,10,9,1,3
10578,11,10,1,9
10579,21,12,2,14
10581,10,9,1,7
10582,15,12,4,2
10583,11,10,2,1
10584,10,9,1,10
1059,13,11,2,0
10591,13,12,1,9
10602,16,12,2,3
10607,9,9,1,6
10610,9,9,1,9
10618,10,9,1,9
10619,11,10,2,6
10620,15,13,1,6
10629,11,10,2,9
1063,18,15,3,18
10631,30,16,3,3
10632,9,9,1,8
10633,13,12,2,97
10635,10,9,2,7
10639,10,9,1,3
10643,10,9,1,8
10645,15,13,1,6
10649,11,11,2,10
1065,11,11,1,5
10652,11,10,2,3
10654,10,9,1,6
10660,11,10,2,7
10662,10,9,2,7
10663,10,10,2,13
10665,11,10,2,1
10668,10,9,1,2
10669,9,9,1,15
10678,10,9,2,3
10681,12,10,2,7
10682,11,10,2,3
10683,14,13,1,10
10685,10,9,1,3
10689,10,9,1,6
1069,11,11,1,6
10690,10,9,2,7
10693,10,9,2,7
10696,17,13,2,7
10697,10,9,1,6
10700,9,9,1,8
10714,9,9,1,3
10717,10,9,1,7
10718,10,9,1,8
10721,6,5,3,101
10723,16,14,1,14
10724,10,9,1,15
10727,10,9,2,7
10731,12,10,2,7
10733,11,11,1,114
10734,10,9,1,15
10739,9,9,1,15
10747,10,9,1,3
10750,17,14,4,8
10758,10,9,1,5
10759,18,13,2,7
1076,12,12,2,0
10761,9,9,1,12
10762,12,10,2,7
10764,9,9,1,6
10772,22,13,4,10
10784,20,11,3,2
10789,11,10,2,2
10792,9,9,1,11
10794,12,8,2,13
10798,11,10,1,5
10799,10,9,1,12
10800,14,11,3,13
10806,10,9,1,2
10808,10,9,1,6
1081,13,12,1,4
10812,10,9,2,3
10813,10,9,1,6
10816,10,9,1,1
10819,11,9,3,6
10820,14,10,2,6
10829,14,10,2,2
10836,10,9,2,14
10837,10,9,2,9
10838,11,10,2,6
1084,11,11,1,5
10848,9,9,1,2
10849,22,13,2,8
10854,13,10,3,2
10856,10,9,1,2
10858,10,9,1,8
10859,18,14,2,23
10866,10,9,1,3
10868,11,10,1,7
10869,10,9,1,8
1087,16,12,2,2
10870,10,9,1,7
10871,10,9,1,5
10874,27,19,3,229
10875,12,11,1,16
10876,10,9,1,8
1088,12,11,2,0
10882,10,9,2,52
10884,20,15,3,237
10889,12,10,2,1
1089,11,11,1,5
10891,10,9,1,2
10896,18,16,2,232
10899,27,14,6,489
109,15,7,5,6
10903,15,12,3,9
10906,11,11,1,115
10908,11,10,2,15
10919,19,15,2,8
1092,34,12,3,2
10921,10,9,1,7
10923,10,9,1,8
10928,11,10,1,8
10930,10,9,1,7
10931,10,9,1,7
10934,10,9,1,12
10935,16,14,2,7
10936,10,9,1,8
10937,10,9,1,6
10938,10,9,2,13
10939,4,4,1,6
10941,9,9,1,14
10943,9,9,1,11
10947,10,9,1,7
10948,10,9,1,6
10950,10,9,1,8
10953,15,11,4,1
10955,10,10,1,7
10958,10,9,1,11
10960,10,9,1,1
10961,10,9,1,14
10962,10,9,1,16
10964,20,13,2,6
10967,28,9,2,31
10970,9,9,1,16
10972,9,9,1,7
10973,9,9,1,6
10974,9,9,1,8
10975,10,9,1,1
10976,10,9,1,7
10977,12,11,1,176
1098,34,13,2,4
10980,9,9,1,8
10981,10,9,1,4
10982,9,9,1,9
10984,12,11,2,0
10985,10,9,2,8
10988,9,9,1,6
10997,10,9,1,7
10998,11,11,2,0
10999,10,9,1,15
1100,16,11,3,11
11000,24,13,2,6
11007,10,9,1,10
11012,9,9,1,4
11013,9,9,1,11
11019,9,9,1,5
11024,10,9,2,8
11030,15,12,4,0
11035,12,11,2,178
11036,10,9,1,10
11038,10,9,1,8
11040,14,11,3,18
11042,10,10,2,4
11043,9,9,1,10
11045,10,9,1,28
11046,9,9,1,14
11048,14,13,1,16
11052,10,9,1,6
11053,9,9,1,6
11057,16,15,1,404
11062,17,14,2,17
11066,9,9,1,7
11068,14,12,4,3
11070,9,9,1,7
11072,10,9,1,7
11078,9,9,1,7
11080,9,9,1,6
11082,9,9,1,62
11084,10,10,1,8
11086,9,9,1,4
11089,9,9,1,5
1109,12,11,2,0
11095,9,9,1,5
1110,11,11,1,5
11102,14,11,2,0
11103,9,9,1,14
11108,11,10,2,1
11110,13,11,2,8
11116,8,8,1,5
11121,9,9,1,7
11122,13,13,2,7
11124,9,9,1,7
11125,12,11,2,2
11135,12,11,3,53
11138,9,9,1,9
11139,13,12,2,3
1114,12,10,1,2
11142,9,9,1,8
11145,10,9,1,34
11146,9,9,1,4
1115,15,12,2,2
11151,9,9,1,5
11153,10,10,2,1
11154,10,10,2,17
11158,9,9,1,6
1116,11,11,1,4
11160,9,9,1,14
11161,17,15,2,196
11162,9,9,1,5
11166,8,6,1,28
11174,9,9,1,6
11178,11,11,2,7
11179,10,9,1,17
11182,18,15,2,251
11184,11,11,1,29
11185,9,9,1,7
11186,12,11,3,1
11189,10,9,1,9
1119,15,13,3,369
11190,12,12,3,0
11194,12,12,2,86
11195,11,11,1,80
11197,11,11,1,6
11198,10,9,1,10
11200,10,9,1,48
11208,10,10,2,3
11214,10,10,2,13
11215,12,10,2,7
11216,9,9,1,6
1122,11,9,2,3
11221,10,10,1,5
11222,9,9,1,8
11223,9,9,1,11
11226,9,9,1,10
11229,10,10,2,22
1123,14,12,3,2
11234,10,9,2,1
11237,11,10,2,5
11238,9,9,1,8
11241,9,9,1,7
11246,11,10,3,53
11254,15,13,1,8
11256,9,9,1,10
1126,18,13,3,0
11263,11,10,2,3
11269,62,15,6,100
11272,12,10,3,19
11273,9,9,1,5
1128,12,11,1,61
11281,12,10,2,14
11289,10,9,2,9
1129,22,11,2,5
11291,14,13,3,0
11293,10,10,2,5
11295,9,9,1,4
11296,14,14,2,0
11301,13,11,2,131
11303,9,9,1,11
11307,15,13,1,8
11308,9,9,1,18
1131,11,11,1,5
11312,25,12,4,3
11314,9,9,1,4
11317,50,24,3,0
11321,9,9,1,6
11325,20,13,3,10
11330,11,10,2,46
11335,9,9,1,14
11338,13,11,2,9
1134,16,13,1,6
11346,10,10,2,0
11347,9,9,1,4
11348,9,9,1,15
11349,10,10,2,4
11351,9,9,1,10
11354,10,10,2,5
11356,15,11,4,7
11357,9,9,1,13
11358,11,11,2,5
11359,9,9,1,5
11364,11,10,2,1
11365,9,9,1,11
11366,9,9,1,4
11367,9,9,1,9
11369,9,5,2,6
11371,10,10,1,7
11372,18,12,3,1
11374,9,9,1,11
11376,10,10,2,8
11379,11,10,1,43
11380,9,9,1,9
11381,9,9,1,54
11385,10,9,1,21
11387,9,9,1,6
11389,9,9,1,11
11392,9,9,1,10
11395,10,10,2,0
11396,9,9,1,8
1140,23,11,3,5
11400,9,9,1,53
11406,9,9,1,12
1141,42,22,4,393
11413,20,10,1,7
11425,10,10,1,12
11427,9,9,1,5
11429,9,9,1,8
11436,13,11,2,2
11437,14,12,3,2
11439,9,9,1,8
11440,10,9,2,27
11441,9,9,1,10
11446,17,14,3,103
11449,9,9,1,15
11450,9,9,1,15
11451,9,9,1,8
11452,9,9,1,15
11455,12,11,1,79
11456,9,9,1,10
11458,10,9,1,9
11459,11,11,2,67
11460,9,9,1,5
11462,11,11,1,15
11472,11,10,1,15
11476,11,11,1,100
11477,10,9,2,8
11479,9,9,1,9
1148,14,11,2,49
11480,9,9,1,8
11481,9,9,1,27
11484,9,9,1,8
11486,9,9,1,3
11487,9,9,1,15
11490,9,9,1,7
11494,10,10,2,2
11498,41,20,8,349
11499,11,11,2,10
115,15,12,1,6
11501,21,11,3,250
11503,12,11,2,3
11504,10,10,1,6
11505,11,10,2,7
11509,13,12,2,251
11512,9,9,1,10
11515,14,11,1,191
11519,19,12,3,49
11522,9,9,1,7
11528,9,9,1,4
1153,9,6,3,0
11531,15,14,2,1
11535,11,10,1,8
11536,12,12,2,7
11537,23,13,3,8
11539,12,10,1,7
1154,11,11,1,6
11542,9,9,1,15
11546,10,10,2,23
11548,9,9,1,2
11549,9,9,1,10
11555,14,13,4,1
11556,9,9,1,10
11563,9,9,1,6
11565,9,9,1,3
11566,10,9,2,54
11567,9,9,1,6
11569,9,9,1,46
1157,15,11,3,15
11570,12,10,3,8
11577,17,13,2,6
11578,9,9,1,7
11582,10,10,1,7
11584,10,9,1,14
11587,9,9,1,9
1159,11,11,1,15
11590,9,9,1,5
11593,9,9,1,14
11594,10,10,2,14
11595,10,9,1,17
1160,18,13,2,0
11605,9,9,1,4
11607,9,9,1,50
11608,9,9,1,6
1161,11,11,1,5
11610,9,9,1,14
11612,10,10,2,4
11614,9,9,1,4
11617,12,10,2,3
11620,9,9,1,15
11621,31,12,2,14
11624,13,12,2,1
11629,12,10,2,14
11630,9,9,1,14
11635,12,9,2,6
11638,9,9,1,3
11641,9,9,1,9
11642,11,11,2,8
11644,9,9,1,9
11645,19,16,3,3
11649,10,10,2,15
11651,9,9,1,9
11657,10,9,2,24
11659,9,9,1,8
11668,9,9,1,10
11669,9,9,1,8
11670,9,9,1,15
11671,9,9,1,2
11675,12,10,2,19
11680,9,9,1,14
11684,9,9,1,7
11686,12,11,1,14
11688,9,9,1,3
11691,9,9,1,4
11693,12,11,1,194
11695,10,10,2,3
11698,10,10,1,15
11699,9,9,1,13
11700,9,9,1,7
11701,9,9,1,12
11703,9,9,1,6
11704,13,11,2,192
11706,9,9,1,5
11707,9,9,1,4
11708,20,16,2,4
11712,9,9,1,15
11714,8,8,1,3
11718,11,11,1,7
11723,9,9,1,3
11727,10,10,2,2
11731,9,9,1,11
11735,9,9,1,5
11738,9,9,1,14
1174,11,11,1,7
11742,13,13,2,0
11743,9,9,1,5
11748,10,10,1,13
11749,11,10,2,58
11752,9,9,1,2
11754,10,10,2,5
11756,16,12,2,1
11758,9,9,1,5
1176,11,11,1,19
11762,9,9,1,5
11768,9,9,1,4
11773,28,10,1,15
11775,13,12,2,76
11778,18,9,1,5
11781,9,9,1,8
11782,11,10,1,5
11785,11,11,1,5
11786,9,9,1,8
11788,9,9,1,3
11789,9,9,1,3
11793,8,8,1,3
11794,9,9,1,22
11795,10,9,1,18
11797,9,9,1,3
118,11,11,1,7
11800,14,11,3,2
11802,38,24,4,377
11809,11,11,1,100
11812,8,8,1,3
11823,9,9,1,15
1183,17,13,2,10
11833,9,9,1,3
11834,9,9,1,7
11837,9,9,1,2
11838,9,9,1,5
1184,14,11,2,4
11841,9,9,1,7
11843,10,10,1,8
11846,9,9,1,14
11849,15,12,2,8
1185,14,10,2,1
11850,9,9,1,7
11857,12,12,2,13
1186,26,21,3,299
11869,18,14,3,4
11874,9,9,1,17
11876,13,13,2,125
11877,9,9,1,7
11879,10,10,1,4
1188,11,11,1,5
11880,10,10,1,6
11882,9,9,1,5
11883,9,9,1,12
11885,9,9,1,15
11886,15,12,2,0
11887,11,10,3,0
11891,9,9,1,14
11892,10,9,1,13
11893,13,13,2,12
11894,9,9,1,55
11896,9,9,1,5
11897,9,9,1,7
11900,14,13,1,7
11901,19,12,2,118
11904,10,9,1,41
11907,9,9,1,4
11908,9,9,1,2
11909,12,12,2,0
1191,12,11,1,27
11915,10,10,2,10
1192,13,11,2,2
11920,9,9,1,8
11925,9,9,1,2
11930,10,9,1,38
11931,9,9,1,2
11932,9,9,1,4
11934,9,9,1,9
11935,16,13,1,14
11936,24,16,3,1
11938,9,9,1,4
11948,11,11,3,10
11950,9,9,1,5
11953,15,13,3,0
11954,9,9,1,6
11960,9,9,1,13
11968,9,9,1,15
11971,9,9,1,4
11972,10,10,2,4
11973,11,11,1,76
11975,9,9,1,3
11976,10,10,1,6
11977,9,9,1,4
11983,10,9,2,1
11984,9,9,1,4
11986,11,9,2,4
11990,10,10,1,6
11992,9,9,1,15
11994,9,9,1,4
11995,9,9,1,3
11999,9,9,1,7
12,14,13,2,30
1200,17,13,2,1
12003,14,13,2,101
12012,9,9,1,15
12014,9,9,1,3
12016,9,9,1,15
1202,11,11,1,4
12021,10,10,2,65
12023,12,12,2,7
12026,10,9,1,18
12029,12,9,2,47
1203,15,12,2,12
12032,17,13,1,7
12033,9,9,1,8
12035,11,10,1,15
12036,9,9,1,15
1204,24,17,3,131
12040,9,9,1,6
12043,10,10,2,0
12045,10,10,2,8
12046,9,9,1,14
12048,9,9,1,14
1205,13,12,2,5
12052,9,9,1,13
12055,10,9,1,11
12056,9,9,1,7
12059,12,10,2,14
12063,11,10,1,5
12064,13,10,2,2
12065,9,9,1,14
12068,9,9,1,8
12069,9,9,1,3
12073,9,9,1,12
12077,9,9,1,11
12081,9,9,1,3
12082,9,9,1,5
12085,9,9,1,7
12086,9,9,1,3
12087,9,9,1,5
12088,14,12,2,5
12089,12,10,2,6
12090,9,9,1,5
12091,11,10,2,3
12093,9,9,1,3
12096,9,9,1,3
12098,11,11,1,7
12099,10,10,2,5
12100,24,15,4,22
12101,9,9,1,5
12103,18,9,1,4
12104,20,17,2,213
12105,15,12,3,0
1211,17,13,3,6
12122,9,9,1,3
12125,18,16,4,21
12126,9,9,1,6
12127,9,9,1,4
12129,9,9,1,14
1213,20,10,2,4
12130,9,9,1,5
12133,10,9,1,4
12135,11,10,3,2
12141,9,9,1,4
12143,9,9,1,6
1215,24,14,3,49
12151,28,17,5,107
12154,9,9,1,6
12157,11,10,1,8
12158,9,9,1,6
12159,9,9,1,4
12160,9,9,1,6
12163,11,11,2,15
12165,9,9,1,14
12167,11,8,1,4
12168,10,10,1,13
12169,9,9,1,6
12172,12,10,3,1
12184,24,13,2,4
12200,12,11,1,160
12203,10,10,1,15
12207,9,9,1,11
1221,13,13,2,5
12211,9,9,1,15
12212,25,11,2,5
12215,9,9,1,13
12216,9,9,1,12
12220,9,9,1,5
12222,9,9,1,5
1223,17,12,4,2
12239,9,9,1,6
12242,9,9,1,7
12243,9,9,1,4
12258,8,8,1,4
12260,13,11,2,72
12262,13,10,2,6
12264,12,11,3,0
12268,9,9,1,4
12271,9,9,1,3
12274,11,11,2,266
12275,12,11,3,2
12281,9,9,1,5
12285,9,9,1,5
1229,19,14,3,7
12293,11,10,2,4
12294,9,9,1,6
12296,9,9,1,13
123,19,11,2,1
1230,18,14,4,3
12301,12,12,2,4
12304,9,9,2,12
12305,9,9,1,18
12308,9,9,1,4
12310,13,12,1,6
12311,10,9,1,4
12314,10,10,1,5
12318,16,16,2,27
12319,11,11,1,102
1232,11,11,1,6
12322,9,9,1,6
12323,7,7,1,9
12325,9,9,1,5
12328,9,9,1,14
12329,7,7,1,5
1233,11,11,1,10
12330,8,8,1,4
12332,11,10,2,6
12336,9,9,1,7
1234,6,5,1,438
12342,10,10,2,13
12343,9,9,1,4
12344,9,9,1,4
12347,11,10,2,1
12349,12,11,2,5
1235,12,11,2,6
12351,9,9,1,4
12353,8,8,1,5
12354,9,9,1,7
12364,12,12,2,5
12368,7,7,1,6
12369,9,9,2,4
12372,11,11,1,109
12376,11,11,2,3
12380,9,9,1,4
12385,15,13,1,14
12387,22,11,1,4
1239,17,11,3,5
12392,9,9,1,3
12395,10,10,2,5
12397,18,12,2,72
12398,16,13,3,21
12399,9,9,1,12
12401,13,11,2,0
12403,9,9,1,10
12405,13,11,3,1
12407,11,11,2,7
12408,13,10,2,2
12409,13,12,3,123
12414,9,9,1,10
12419,10,10,2,9
12420,12,10,2,2
12422,12,11,2,11
12426,12,11,2,186
12429,16,13,3,6
1243,11,11,1,10
12430,10,10,2,6
12433,12,11,1,6
12437,9,9,1,6
12442,9,9,1,5
12444,10,9,1,16
12446,9,9,1,4
12447,9,9,1,6
12448,10,10,1,4
12452,11,10,3,3
12453,10,10,2,5
12456,17,9,1,2
1246,11,11,1,10
12463,10,9,1,29
12464,9,9,1,13
12473,10,10,1,3
12474,9,9,1,4
12477,8,8,1,5
12479,9,9,1,6
12483,9,9,1,6
12487,12,12,2,123
12489,9,9,1,4
1249,26,18,3,17
12493,9,9,1,4
12495,11,11,2,2
125,12,11,2,1
1250,13,11,2,2
12502,9,9,1,4
12506,9,9,1,3
12508,9,9,1,15
12513,9,9,1,12
12521,10,10,1,6
12522,15,11,3,12
12526,9,9,1,59
12527,13,11,3,1
1253,17,13,3,5
12531,9,9,1,5
12540,9,9,1,8
12542,12,10,1,4
12543,16,13,4,1
12544,19,14,2,4
12545,15,10,2,26
12548,9,9,1,13
12551,9,9,1,11
12554,14,12,1,5
12555,9,9,1,4
12556,29,14,2,2
12559,9,9,1,13
1256,33,18,4,21
12561,10,10,2,2
12567,9,9,1,4
12569,9,9,1,10
12570,9,9,1,10
12573,9,9,1,3
12574,19,12,4,0
12576,26,19,7,398
12577,10,9,1,22
12582,9,9,1,3
12583,10,10,2,6
12585,21,10,2,2
12586,9,9,1,5
12589,14,13,2,73
1259,13,11,2,0
12590,9,9,1,3
12591,11,10,1,1
12592,9,9,1,3
12595,10,9,1,23
12599,11,11,1,73
12600,10,10,2,3
12606,9,9,1,59
12607,9,9,1,8
12608,11,11,1,16
12610,11,11,2,23
12611,9,9,1,3
12614,9,9,1,8
12615,9,9,1,15
12620,9,9,1,4
12623,9,9,1,5
12624,9,9,1,4
12627,9,9,1,4
12629,9,9,1,4
12633,19,18,4,8
12637,9,9,1,15
12639,9,9,1,10
1264,15,11,1,84
12641,16,11,3,5
12645,23,12,3,22
12647,9,9,1,5
1265,11,11,1,5
12653,9,9,1,4
12654,10,10,2,2
12660,11,10,2,4
12663,19,14,2,22
12666,18,12,4,2
12670,10,10,1,22
12671,11,11,2,3
12672,9,9,1,9
12679,9,9,1,3
12689,14,12,2,3
12696,8,8,1,2
12697,9,9,1,9
1270,21,11,1,6
12701,10,10,2,8
12703,3,3,1,4
12706,12,11,2,4
12711,10,10,1,7
12714,10,10,1,7
12723,10,9,1,2
12724,10,9,2,4
12725,9,9,1,11
12733,27,14,7,187
12738,23,12,3,3
12739,10,10,2,3
1274,11,11,1,4
12741,9,9,1,9
12742,17,13,3,2
12744,9,9,1,4
12745,9,9,1,15
12746,11,11,1,14
12749,9,9,1,2
1275,18,12,4,39
12754,9,9,1,27
12767,9,9,1,2
12775,9,9,1,3
12777,10,10,2,8
1278,29,13,3,4
12785,9,9,1,3
12786,10,10,1,2
12792,13,13,1,118
12793,11,10,2,4
12799,9,9,1,4
1280,11,11,1,12
12804,9,9,1,12
12807,10,10,2,15
12808,13,12,1,11
12810,26,10,2,15
12815,9,9,1,3
12819,15,13,2,12
12825,10,10,1,7
12830,9,9,1,60
12831,9,9,1,10
12832,8,8,1,7
12835,9,9,1,15
12839,9,9,1,8
12841,9,9,1,9
12843,9,9,1,4
12847,9,9,1,7
12848,9,9,1,7
12849,10,9,1,33
12851,9,9,1,3
12853,18,9,1,4
12855,9,9,1,3
12863,9,9,1,6
12864,9,9,1,7
1287,13,11,2,43
12870,11,10,1,6
12877,9,9,1,8
12878,19,13,3,33
12879,10,9,1,24
1288,15,13,3,10
12880,9,9,1,2
12886,9,9,1,6
12887,9,9,1,2
12888,9,9,1,7
12891,14,13,1,98
12892,9,9,1,10
12895,10,9,1,69
12896,9,9,1,10
12897,9,9,1,2
12900,9,9,1,6
12901,9,9,1,6
12904,9,9,1,6
12905,16,15,1,259
12906,9,9,1,3
12909,18,16,4,2
12916,12,11,1,136
12918,9,9,1,14
12919,10,9,2,29
12921,9,9,1,3
12922,9,9,1,19
12923,9,9,1,12
12925,10,10,2,0
12929,9,9,1,75
12930,22,11,3,60
12931,11,11,1,130
12936,10,9,1,17
12938,12,12,1,4
12943,14,13,1,66
12944,17,13,1,15
12947,9,9,1,7
12955,9,9,1,14
12956,11,11,1,2
12958,12,12,2,1
12959,10,9,2,2
1296,11,11,1,6
12960,9,9,1,2
12965,11,11,1,134
12968,11,10,2,65
12971,9,9,1,10
12973,9,9,1,6
12974,11,10,3,21
12976,9,9,1,13
12978,10,10,2,17
1298,11,11,1,2
12980,9,9,1,14
12984,9,9,1,2
12986,9,9,1,6
12988,9,9,1,14
1299,13,11,2,5
12993,9,9,1,13
12995,9,9,1,2
12996,9,9,1,7
12997,10,10,2,5
1300,14,13,1,5
13000,9,9,1,2
13004,9,9,1,9
13006,14,10,4,4
13007,9,9,1,3
13014,11,11,2,16
13017,9,9,1,3
13018,10,9,1,6
13023,9,9,1,3
13024,9,9,1,11
13027,11,10,2,7
13028,10,10,2,8
13032,10,10,1,3
13033,9,9,1,33
13037,12,11,1,73
13039,9,9,1,14
13041,10,10,2,8
13043,19,17,2,509
13046,14,14,2,0
13052,9,9,1,3
13054,14,12,2,4
13056,9,9,1,3
13062,12,11,3,2
13063,9,9,1,6
13066,9,9,1,2
13068,10,9,2,6
13070,9,9,1,4
13071,14,10,1,5
13072,12,12,2,109
13073,15,11,3,5
13074,11,11,1,2
13075,9,9,1,1
13079,9,9,1,10
13080,9,9,1,1
13081,10,10,1,12
13088,10,10,2,0
13089,9,9,1,5
1309,11,11,1,5
13092,10,10,2,11
13098,11,10,2,4
13100,9,9,1,11
13104,19,10,1,1
13106,11,11,2,12
13109,9,9,1,2
1311,18,15,2,5
13113,9,9,1,5
13114,20,13,1,8
13115,9,9,1,5
13118,9,9,1,6
13119,9,9,1,2
1312,11,11,1,14
13124,9,9,1,6
13127,10,10,2,9
1313,11,11,1,4
13133,9,9,1,13
13134,17,14,3,353
13144,17,11,3,42
13149,10,9,1,13
13150,9,9,1,12
13152,9,9,1,6
13159,9,9,1,18
1316,12,11,2,0
13160,9,9,1,2
13161,9,9,1,5
13163,10,10,2,0
13166,9,9,1,6
13170,9,9,1,2
13173,10,10,2,1
13177,9,9,1,2
13179,9,9,1,6
13190,29,16,5,1
13200,13,11,2,4
13207,9,9,1,6
13211,10,10,1,6
13212,9,9,1,6
13218,10,10,1,7
13219,10,9,1,29
13220,9,9,1,2
13221,9,9,1,2
13225,9,9,1,5
13228,16,13,4,3
1323,11,11,1,11
13230,11,11,2,45
13231,9,9,1,15
13234,9,9,1,2
13238,11,10,2,8
13239,14,14,1,2
13244,9,9,1,12
13246,8,8,1,6
13247,12,12,2,1
13248,9,9,1,2
13249,9,9,1,13
1325,11,11,1,4
13255,9,9,1,2
13258,9,9,1,15
13259,13,11,2,169
13260,16,16,2,6
13267,9,9,1,14
13268,12,11,1,162
13273,9,9,1,8
13279,12,11,2,0
13283,9,9,1,6
13284,9,9,1,6
13286,25,17,5,4
13293,20,12,3,1
13294,9,9,1,7
13297,9,9,1,14
13299,11,11,1,127
133,7,6,2,2
1330,12,11,2,5
13302,9,9,1,15
13304,9,9,1,15
13307,9,9,1,1
13309,11,10,1,1
13326,9,9,1,12
13333,11,11,1,14
13334,8,7,1,180
